Pos,,,Pld,W,D,L,GF,GA,GD,Pts
1,/img/teams/liverpool.png,Liverpool,28,20,7,1,66,26,40,67
2,/img/teams/arsenal.png,Arsenal,27,15,9,3,51,23,28,54
3,/img/teams/nottm-f.png,Nottm For,27,14,6,7,44,33,11,48
4,/img/teams/man-c.png,Man. City,27,14,5,8,53,37,16,47
5,/img/teams/chelsea.png,Chelsea,27,13,7,7,52,36,16,46
6,/img/teams/newcastle.png,Newcastle,27,13,5,9,46,38,8,44
7,/img/teams/bournemouth.png,Bournemouth,27,12,7,8,45,32,13,43
8,/img/teams/brighton.png,Brighton,27,11,10,6,44,39,5,43
9,/img/teams/fulham.png,Fulham,27,11,9,7,40,36,4,42
10,/img/teams/avfc.png,Aston Villa,28,11,9,8,40,45,-5,42
11,/img/teams/brentford.png,Brentford,27,11,5,11,48,43,5,38
12,/img/teams/crystal-pal.png,Crystal Pal,27,9,9,9,35,33,2,36
13,/img/teams/spurs.png,Tottenham,27,10,3,14,53,39,14,33
14,/img/teams/man-u.png,Man. Utd,27,9,6,12,33,39,-6,33
15,/img/teams/west-ham.png,West Ham,27,9,6,12,32,47,-15,33
16,/img/teams/everton.png,Everton,27,7,11,9,30,34,-4,32
17,/img/teams/wolves.png,Wolverhampton,27,6,4,17,37,56,-19,22
18,/img/teams/ipswich.png,Ipswich,27,3,8,16,26,57,-31,17
19,/img/teams/leicester.png,Leicester,27,4,5,18,25,61,-36,17
20,/img/teams/southampton.png,Southampton,27,2,3,22,19,65,-46,9
